program,week,week_focus,progression,day,day_title,optional_day,time_cap_min,exercise_order,exercise,block,sets,reps_time,rest_seconds,notes,safety_substitution
Foundation Strength – Golden Age Improved,1,Base,Use conservative loads. Finish main lifts around RPE 7 with 2–3 reps in reserve.,3,Day 3 – Deadlift Strength,No,45,1,Trap-Bar Deadlift,Main Lift,5,5,120,High handles are acceptable.,Brace first; stop if lumbar discomfort rises above normal training stiffness.
Foundation Strength – Golden Age Improved,1,Base,Use conservative loads. Finish main lifts around RPE 7 with 2–3 reps in reserve.,3,Day 3 – Deadlift Strength,No,45,2,Hack Squat or Leg Press,A1,3,8–10,60,,Pair with supported row.
Foundation Strength – Golden Age Improved,1,Base,Use conservative loads. Finish main lifts around RPE 7 with 2–3 reps in reserve.,3,Day 3 – Deadlift Strength,No,45,3,One-Arm Cable Row,A2,3,8–12/side,60,Use a split stance or bench support.,Avoid twisting through the low back.
Foundation Strength – Golden Age Improved,1,Base,Use conservative loads. Finish main lifts around RPE 7 with 2–3 reps in reserve.,3,Day 3 – Deadlift Strength,No,45,4,Hip Extension or Reverse Hyper,B1,2,10–12,45,"Use a short, controlled range.",No aggressive lumbar extension.
Foundation Strength – Golden Age Improved,1,Base,Use conservative loads. Finish main lifts around RPE 7 with 2–3 reps in reserve.,3,Day 3 – Deadlift Strength,No,45,5,Front Plank,B2,3,20–40 sec,45,,Brace hard and stop before position breaks.
Foundation Strength – Golden Age Improved,1,Base,Use conservative loads. Finish main lifts around RPE 7 with 2–3 reps in reserve.,4,Day 4 – Shoulder-Smart Upper Body,No,45,1,Half-Kneeling Landmine Press,Main Lift,4,6–8/side,75,Press in the scapular plane.,Pain-free range only; do not chase overhead height.
Foundation Strength – Golden Age Improved,1,Base,Use conservative loads. Finish main lifts around RPE 7 with 2–3 reps in reserve.,4,Day 4 – Shoulder-Smart Upper Body,No,45,2,Chest-Supported DB Row,A1,3,8–12,60,,Pair with floor press.
Foundation Strength – Golden Age Improved,1,Base,Use conservative loads. Finish main lifts around RPE 7 with 2–3 reps in reserve.,4,Day 4 – Shoulder-Smart Upper Body,No,45,3,Neutral-Grip DB Floor Press,A2,3,8–10,60,,Floor limits shoulder extension.
Foundation Strength – Golden Age Improved,1,Base,Use conservative loads. Finish main lifts around RPE 7 with 2–3 reps in reserve.,4,Day 4 – Shoulder-Smart Upper Body,No,45,4,Cable Lateral Raise,B1,2–3,10–15,45,Raise only within a comfortable range.,Substitute scaption raise if preferred.
Foundation Strength – Golden Age Improved,1,Base,Use conservative loads. Finish main lifts around RPE 7 with 2–3 reps in reserve.,4,Day 4 – Shoulder-Smart Upper Body,No,45,5,Hammer Curl,B2,3,8–12,45,,Controlled reps.
Foundation Strength – Golden Age Improved,1,Base,Use conservative loads. Finish main lifts around RPE 7 with 2–3 reps in reserve.,4,Day 4 – Shoulder-Smart Upper Body,No,45,6,Rope Pressdown,B3,3,10–12,45,,Keep shoulders relaxed.
Foundation Strength – Golden Age Improved,1,Base,Use conservative loads. Finish main lifts around RPE 7 with 2–3 reps in reserve.,5,Day 5 – Optional Home Treadmill,Yes,40,1,Treadmill Warm-Up,Warm-Up,1,5 min,0,Easy walk.,
Foundation Strength – Golden Age Improved,1,Base,Use conservative loads. Finish main lifts around RPE 7 with 2–3 reps in reserve.,5,Day 5 – Optional Home Treadmill,Yes,40,2,Incline Walk / Zone 2,Conditioning,1,25–30 min,0,Conversational pace; 2–6% incline as tolerated.,Use intervals only when legs and back feel recovered.
Foundation Strength – Golden Age Improved,1,Base,Use conservative loads. Finish main lifts around RPE 7 with 2–3 reps in reserve.,5,Day 5 – Optional Home Treadmill,Yes,40,3,Treadmill Cooldown,Cooldown,1,5 min,0,Easy flat walk and nasal breathing.,
Foundation Strength – Golden Age Improved,2,Build,Add 5 lb upper body or 5–10 lb lower body when Week 1 technique was clean.,1,Day 1 – Squat Strength,No,45,1,Back Squat,Main Lift,5,5,120,,Use a pain-free stance; stop at RPE 8. Safety-bar squat is the preferred substitute.
Foundation Strength – Golden Age Improved,2,Build,Add 5 lb upper body or 5–10 lb lower body when Week 1 technique was clean.,1,Day 1 – Squat Strength,No,45,2,Chest-Supported Row,A1,3,8–10,60,Neutral grip when available.,Pair with split squat.
Foundation Strength – Golden Age Improved,2,Build,Add 5 lb upper body or 5–10 lb lower body when Week 1 technique was clean.,1,Day 1 – Squat Strength,No,45,3,Rear-Foot-Elevated Split Squat,A2,3,6/side,60,Use support for balance if needed.,Keep torso controlled and stride comfortable.
Foundation Strength – Golden Age Improved,2,Build,Add 5 lb upper body or 5–10 lb lower body when Week 1 technique was clean.,1,Day 1 – Squat Strength,No,45,4,Pallof Press,B1,3,10/side,45,,No trunk rotation.
Foundation Strength – Golden Age Improved,2,Build,Add 5 lb upper body or 5–10 lb lower body when Week 1 technique was clean.,1,Day 1 – Squat Strength,No,45,5,Sled Push,Finisher,4,20–30 yd,45,Moderate load.,Finish in 5–6 minutes; skip if the session reaches 45 minutes.
Foundation Strength – Golden Age Improved,2,Build,Add 5 lb upper body or 5–10 lb lower body when Week 1 technique was clean.,2,Day 2 – Bench & Pull,No,45,1,Barbell Bench Press,Main Lift,5,5,120,Use a comfortable grip and controlled touch.,Stop for sharp shoulder pain; neutral-grip DB bench is the substitute.
Foundation Strength – Golden Age Improved,2,Build,Add 5 lb upper body or 5–10 lb lower body when Week 1 technique was clean.,2,Day 2 – Bench & Pull,No,45,2,Neutral-Grip Lat Pulldown,A1,3,8–10,60,,Pair with incline press.
Foundation Strength – Golden Age Improved,2,Build,Add 5 lb upper body or 5–10 lb lower body when Week 1 technique was clean.,2,Day 2 – Bench & Pull,No,45,3,Low-Incline Neutral-Grip DB Press,A2,3,8–10,60,Bench angle roughly 15–30°.,Do not force painful depth.
Foundation Strength – Golden Age Improved,2,Build,Add 5 lb upper body or 5–10 lb lower body when Week 1 technique was clean.,2,Day 2 – Bench & Pull,No,45,4,Face Pull,B1,3,12–15,45,,Pull toward eyebrow level without shrugging.
Foundation Strength – Golden Age Improved,2,Build,Add 5 lb upper body or 5–10 lb lower body when Week 1 technique was clean.,2,Day 2 – Bench & Pull,No,45,5,Suitcase Carry,B2,3,30–40 sec/side,45,,Stay tall; resist side bending.
Foundation Strength – Golden Age Improved,2,Build,Add 5 lb upper body or 5–10 lb lower body when Week 1 technique was clean.,3,Day 3 – Deadlift Strength,No,45,1,Trap-Bar Deadlift,Main Lift,5,5,120,High handles are acceptable.,Brace first; stop if lumbar discomfort rises above normal training stiffness.
Foundation Strength – Golden Age Improved,2,Build,Add 5 lb upper body or 5–10 lb lower body when Week 1 technique was clean.,3,Day 3 – Deadlift Strength,No,45,2,Hack Squat or Leg Press,A1,3,8–10,60,,Pair with supported row.
Foundation Strength – Golden Age Improved,2,Build,Add 5 lb upper body or 5–10 lb lower body when Week 1 technique was clean.,3,Day 3 – Deadlift Strength,No,45,3,One-Arm Cable Row,A2,3,8–12/side,60,Use a split stance or bench support.,Avoid twisting through the low back.
Foundation Strength – Golden Age Improved,2,Build,Add 5 lb upper body or 5–10 lb lower body when Week 1 technique was clean.,3,Day 3 – Deadlift Strength,No,45,4,Hip Extension or Reverse Hyper,B1,2,10–12,45,"Use a short, controlled range.",No aggressive lumbar extension.
Foundation Strength – Golden Age Improved,2,Build,Add 5 lb upper body or 5–10 lb lower body when Week 1 technique was clean.,3,Day 3 – Deadlift Strength,No,45,5,Front Plank,B2,3,20–40 sec,45,,Brace hard and stop before position breaks.
Foundation Strength – Golden Age Improved,2,Build,Add 5 lb upper body or 5–10 lb lower body when Week 1 technique was clean.,4,Day 4 – Shoulder-Smart Upper Body,No,45,1,Half-Kneeling Landmine Press,Main Lift,4,6–8/side,75,Press in the scapular plane.,Pain-free range only; do not chase overhead height.
Foundation Strength – Golden Age Improved,2,Build,Add 5 lb upper body or 5–10 lb lower body when Week 1 technique was clean.,4,Day 4 – Shoulder-Smart Upper Body,No,45,2,Chest-Supported DB Row,A1,3,8–12,60,,Pair with floor press.
Foundation Strength – Golden Age Improved,2,Build,Add 5 lb upper body or 5–10 lb lower body when Week 1 technique was clean.,4,Day 4 – Shoulder-Smart Upper Body,No,45,3,Neutral-Grip DB Floor Press,A2,3,8–10,60,,Floor limits shoulder extension.
Foundation Strength – Golden Age Improved,2,Build,Add 5 lb upper body or 5–10 lb lower body when Week 1 technique was clean.,4,Day 4 – Shoulder-Smart Upper Body,No,45,4,Cable Lateral Raise,B1,2–3,10–15,45,Raise only within a comfortable range.,Substitute scaption raise if preferred.
Foundation Strength – Golden Age Improved,2,Build,Add 5 lb upper body or 5–10 lb lower body when Week 1 technique was clean.,4,Day 4 – Shoulder-Smart Upper Body,No,45,5,Hammer Curl,B2,3,8–12,45,,Controlled reps.
Foundation Strength – Golden Age Improved,2,Build,Add 5 lb upper body or 5–10 lb lower body when Week 1 technique was clean.,4,Day 4 – Shoulder-Smart Upper Body,No,45,6,Rope Pressdown,B3,3,10–12,45,,Keep shoulders relaxed.
Foundation Strength – Golden Age Improved,2,Build,Add 5 lb upper body or 5–10 lb lower body when Week 1 technique was clean.,5,Day 5 – Optional Home Treadmill,Yes,40,1,Treadmill Warm-Up,Warm-Up,1,5 min,0,Easy walk.,
Foundation Strength – Golden Age Improved,2,Build,Add 5 lb upper body or 5–10 lb lower body when Week 1 technique was clean.,5,Day 5 – Optional Home Treadmill,Yes,40,2,Incline Walk / Zone 2,Conditioning,1,25–30 min,0,Conversational pace; 2–6% incline as tolerated.,Use intervals only when legs and back feel recovered.
Foundation Strength – Golden Age Improved,2,Build,Add 5 lb upper body or 5–10 lb lower body when Week 1 technique was clean.,5,Day 5 – Optional Home Treadmill,Yes,40,3,Treadmill Cooldown,Cooldown,1,5 min,0,Easy flat walk and nasal breathing.,
Foundation Strength – Golden Age Improved,3,Density,Keep Week 2 loads and reduce accessory rest by about 10–15 seconds.,1,Day 1 – Squat Strength,No,45,1,Back Squat,Main Lift,5,5,120,,Use a pain-free stance; stop at RPE 8. Safety-bar squat is the preferred substitute.
Foundation Strength – Golden Age Improved,3,Density,Keep Week 2 loads and reduce accessory rest by about 10–15 seconds.,1,Day 1 – Squat Strength,No,45,2,Chest-Supported Row,A1,3,8–10,60,Neutral grip when available.,Pair with split squat.
Foundation Strength – Golden Age Improved,3,Density,Keep Week 2 loads and reduce accessory rest by about 10–15 seconds.,1,Day 1 – Squat Strength,No,45,3,Rear-Foot-Elevated Split Squat,A2,3,6/side,60,Use support for balance if needed.,Keep torso controlled and stride comfortable.
Foundation Strength – Golden Age Improved,3,Density,Keep Week 2 loads and reduce accessory rest by about 10–15 seconds.,1,Day 1 – Squat Strength,No,45,4,Pallof Press,B1,3,10/side,45,,No trunk rotation.
Foundation Strength – Golden Age Improved,3,Density,Keep Week 2 loads and reduce accessory rest by about 10–15 seconds.,1,Day 1 – Squat Strength,No,45,5,Sled Push,Finisher,4,20–30 yd,45,Moderate load.,Finish in 5–6 minutes; skip if the session reaches 45 minutes.
Foundation Strength – Golden Age Improved,3,Density,Keep Week 2 loads and reduce accessory rest by about 10–15 seconds.,2,Day 2 – Bench & Pull,No,45,1,Barbell Bench Press,Main Lift,5,5,120,Use a comfortable grip and controlled touch.,Stop for sharp shoulder pain; neutral-grip DB bench is the substitute.
Foundation Strength – Golden Age Improved,3,Density,Keep Week 2 loads and reduce accessory rest by about 10–15 seconds.,2,Day 2 – Bench & Pull,No,45,2,Neutral-Grip Lat Pulldown,A1,3,8–10,60,,Pair with incline press.
Foundation Strength – Golden Age Improved,3,Density,Keep Week 2 loads and reduce accessory rest by about 10–15 seconds.,2,Day 2 – Bench & Pull,No,45,3,Low-Incline Neutral-Grip DB Press,A2,3,8–10,60,Bench angle roughly 15–30°.,Do not force painful depth.
Foundation Strength – Golden Age Improved,3,Density,Keep Week 2 loads and reduce accessory rest by about 10–15 seconds.,2,Day 2 – Bench & Pull,No,45,4,Face Pull,B1,3,12–15,45,,Pull toward eyebrow level without shrugging.
Foundation Strength – Golden Age Improved,3,Density,Keep Week 2 loads and reduce accessory rest by about 10–15 seconds.,2,Day 2 – Bench & Pull,No,45,5,Suitcase Carry,B2,3,30–40 sec/side,45,,Stay tall; resist side bending.
Foundation Strength – Golden Age Improved,3,Density,Keep Week 2 loads and reduce accessory rest by about 10–15 seconds.,3,Day 3 – Deadlift Strength,No,45,1,Trap-Bar Deadlift,Main Lift,5,5,120,High handles are acceptable.,Brace first; stop if lumbar discomfort rises above normal training stiffness.
Foundation Strength – Golden Age Improved,3,Density,Keep Week 2 loads and reduce accessory rest by about 10–15 seconds.,3,Day 3 – Deadlift Strength,No,45,2,Hack Squat or Leg Press,A1,3,8–10,60,,Pair with supported row.
Foundation Strength – Golden Age Improved,3,Density,Keep Week 2 loads and reduce accessory rest by about 10–15 seconds.,3,Day 3 – Deadlift Strength,No,45,3,One-Arm Cable Row,A2,3,8–12/side,60,Use a split stance or bench support.,Avoid twisting through the low back.
Foundation Strength – Golden Age Improved,3,Density,Keep Week 2 loads and reduce accessory rest by about 10–15 seconds.,3,Day 3 – Deadlift Strength,No,45,4,Hip Extension or Reverse Hyper,B1,2,10–12,45,"Use a short, controlled range.",No aggressive lumbar extension.
Foundation Strength – Golden Age Improved,3,Density,Keep Week 2 loads and reduce accessory rest by about 10–15 seconds.,3,Day 3 – Deadlift Strength,No,45,5,Front Plank,B2,3,20–40 sec,45,,Brace hard and stop before position breaks.
Foundation Strength – Golden Age Improved,3,Density,Keep Week 2 loads and reduce accessory rest by about 10–15 seconds.,4,Day 4 – Shoulder-Smart Upper Body,No,45,1,Half-Kneeling Landmine Press,Main Lift,4,6–8/side,75,Press in the scapular plane.,Pain-free range only; do not chase overhead height.
Foundation Strength – Golden Age Improved,3,Density,Keep Week 2 loads and reduce accessory rest by about 10–15 seconds.,4,Day 4 – Shoulder-Smart Upper Body,No,45,2,Chest-Supported DB Row,A1,3,8–12,60,,Pair with floor press.
Foundation Strength – Golden Age Improved,3,Density,Keep Week 2 loads and reduce accessory rest by about 10–15 seconds.,4,Day 4 – Shoulder-Smart Upper Body,No,45,3,Neutral-Grip DB Floor Press,A2,3,8–10,60,,Floor limits shoulder extension.
Foundation Strength – Golden Age Improved,3,Density,Keep Week 2 loads and reduce accessory rest by about 10–15 seconds.,4,Day 4 – Shoulder-Smart Upper Body,No,45,4,Cable Lateral Raise,B1,2–3,10–15,45,Raise only within a comfortable range.,Substitute scaption raise if preferred.
Foundation Strength – Golden Age Improved,3,Density,Keep Week 2 loads and reduce accessory rest by about 10–15 seconds.,4,Day 4 – Shoulder-Smart Upper Body,No,45,5,Hammer Curl,B2,3,8–12,45,,Controlled reps.
Foundation Strength – Golden Age Improved,3,Density,Keep Week 2 loads and reduce accessory rest by about 10–15 seconds.,4,Day 4 – Shoulder-Smart Upper Body,No,45,6,Rope Pressdown,B3,3,10–12,45,,Keep shoulders relaxed.
Foundation Strength – Golden Age Improved,3,Density,Keep Week 2 loads and reduce accessory rest by about 10–15 seconds.,5,Day 5 – Optional Home Treadmill,Yes,40,1,Treadmill Warm-Up,Warm-Up,1,5 min,0,Easy walk.,
Foundation Strength – Golden Age Improved,3,Density,Keep Week 2 loads and reduce accessory rest by about 10–15 seconds.,5,Day 5 – Optional Home Treadmill,Yes,40,2,Incline Walk / Zone 2,Conditioning,1,25–30 min,0,Conversational pace; 2–6% incline as tolerated.,Use intervals only when legs and back feel recovered.
Foundation Strength – Golden Age Improved,3,Density,Keep Week 2 loads and reduce accessory rest by about 10–15 seconds.,5,Day 5 – Optional Home Treadmill,Yes,40,3,Treadmill Cooldown,Cooldown,1,5 min,0,Easy flat walk and nasal breathing.,
Foundation Strength – Golden Age Improved,4,Consolidate,"Use about 90% of Week 3 load, move crisply, and finish feeling better than you started.",1,Day 1 – Squat Strength,No,45,1,Back Squat,Main Lift,5,5,120,,Use a pain-free stance; stop at RPE 8. Safety-bar squat is the preferred substitute.
Foundation Strength – Golden Age Improved,4,Consolidate,"Use about 90% of Week 3 load, move crisply, and finish feeling better than you started.",1,Day 1 – Squat Strength,No,45,2,Chest-Supported Row,A1,3,8–10,60,Neutral grip when available.,Pair with split squat.
Foundation Strength – Golden Age Improved,4,Consolidate,"Use about 90% of Week 3 load, move crisply, and finish feeling better than you started.",1,Day 1 – Squat Strength,No,45,3,Rear-Foot-Elevated Split Squat,A2,3,6/side,60,Use support for balance if needed.,Keep torso controlled and stride comfortable.
Foundation Strength – Golden Age Improved,4,Consolidate,"Use about 90% of Week 3 load, move crisply, and finish feeling better than you started.",1,Day 1 – Squat Strength,No,45,4,Pallof Press,B1,3,10/side,45,,No trunk rotation.
Foundation Strength – Golden Age Improved,4,Consolidate,"Use about 90% of Week 3 load, move crisply, and finish feeling better than you started.",1,Day 1 – Squat Strength,No,45,5,Sled Push,Finisher,4,20–30 yd,45,Moderate load.,Finish in 5–6 minutes; skip if the session reaches 45 minutes.
Foundation Strength – Golden Age Improved,4,Consolidate,"Use about 90% of Week 3 load, move crisply, and finish feeling better than you started.",2,Day 2 – Bench & Pull,No,45,1,Barbell Bench Press,Main Lift,5,5,120,Use a comfortable grip and controlled touch.,Stop for sharp shoulder pain; neutral-grip DB bench is the substitute.
Foundation Strength – Golden Age Improved,4,Consolidate,"Use about 90% of Week 3 load, move crisply, and finish feeling better than you started.",2,Day 2 – Bench & Pull,No,45,2,Neutral-Grip Lat Pulldown,A1,3,8–10,60,,Pair with incline press.
Foundation Strength – Golden Age Improved,4,Consolidate,"Use about 90% of Week 3 load, move crisply, and finish feeling better than you started.",2,Day 2 – Bench & Pull,No,45,3,Low-Incline Neutral-Grip DB Press,A2,3,8–10,60,Bench angle roughly 15–30°.,Do not force painful depth.
Foundation Strength – Golden Age Improved,4,Consolidate,"Use about 90% of Week 3 load, move crisply, and finish feeling better than you started.",2,Day 2 – Bench & Pull,No,45,4,Face Pull,B1,3,12–15,45,,Pull toward eyebrow level without shrugging.
Foundation Strength – Golden Age Improved,4,Consolidate,"Use about 90% of Week 3 load, move crisply, and finish feeling better than you started.",2,Day 2 – Bench & Pull,No,45,5,Suitcase Carry,B2,3,30–40 sec/side,45,,Stay tall; resist side bending.
Foundation Strength – Golden Age Improved,4,Consolidate,"Use about 90% of Week 3 load, move crisply, and finish feeling better than you started.",3,Day 3 – Deadlift Strength,No,45,1,Trap-Bar Deadlift,Main Lift,5,5,120,High handles are acceptable.,Brace first; stop if lumbar discomfort rises above normal training stiffness.
Foundation Strength – Golden Age Improved,4,Consolidate,"Use about 90% of Week 3 load, move crisply, and finish feeling better than you started.",3,Day 3 – Deadlift Strength,No,45,2,Hack Squat or Leg Press,A1,3,8–10,60,,Pair with supported row.
Foundation Strength – Golden Age Improved,4,Consolidate,"Use about 90% of Week 3 load, move crisply, and finish feeling better than you started.",3,Day 3 – Deadlift Strength,No,45,3,One-Arm Cable Row,A2,3,8–12/side,60,Use a split stance or bench support.,Avoid twisting through the low back.
Foundation Strength – Golden Age Improved,4,Consolidate,"Use about 90% of Week 3 load, move crisply, and finish feeling better than you started.",3,Day 3 – Deadlift Strength,No,45,4,Hip Extension or Reverse Hyper,B1,2,10–12,45,"Use a short, controlled range.",No aggressive lumbar extension.
Foundation Strength – Golden Age Improved,4,Consolidate,"Use about 90% of Week 3 load, move crisply, and finish feeling better than you started.",3,Day 3 – Deadlift Strength,No,45,5,Front Plank,B2,3,20–40 sec,45,,Brace hard and stop before position breaks.
Foundation Strength – Golden Age Improved,4,Consolidate,"Use about 90% of Week 3 load, move crisply, and finish feeling better than you started.",4,Day 4 – Shoulder-Smart Upper Body,No,45,1,Half-Kneeling Landmine Press,Main Lift,4,6–8/side,75,Press in the scapular plane.,Pain-free range only; do not chase overhead height.
Foundation Strength – Golden Age Improved,4,Consolidate,"Use about 90% of Week 3 load, move crisply, and finish feeling better than you started.",4,Day 4 – Shoulder-Smart Upper Body,No,45,2,Chest-Supported DB Row,A1,3,8–12,60,,Pair with floor press.
Foundation Strength – Golden Age Improved,4,Consolidate,"Use about 90% of Week 3 load, move crisply, and finish feeling better than you started.",4,Day 4 – Shoulder-Smart Upper Body,No,45,3,Neutral-Grip DB Floor Press,A2,3,8–10,60,,Floor limits shoulder extension.
Foundation Strength – Golden Age Improved,4,Consolidate,"Use about 90% of Week 3 load, move crisply, and finish feeling better than you started.",4,Day 4 – Shoulder-Smart Upper Body,No,45,4,Cable Lateral Raise,B1,2–3,10–15,45,Raise only within a comfortable range.,Substitute scaption raise if preferred.
Foundation Strength – Golden Age Improved,4,Consolidate,"Use about 90% of Week 3 load, move crisply, and finish feeling better than you started.",4,Day 4 – Shoulder-Smart Upper Body,No,45,5,Hammer Curl,B2,3,8–12,45,,Controlled reps.
Foundation Strength – Golden Age Improved,4,Consolidate,"Use about 90% of Week 3 load, move crisply, and finish feeling better than you started.",4,Day 4 – Shoulder-Smart Upper Body,No,45,6,Rope Pressdown,B3,3,10–12,45,,Keep shoulders relaxed.
Foundation Strength – Golden Age Improved,4,Consolidate,"Use about 90% of Week 3 load, move crisply, and finish feeling better than you started.",5,Day 5 – Optional Home Treadmill,Yes,40,1,Treadmill Warm-Up,Warm-Up,1,5 min,0,Easy walk.,
Foundation Strength – Golden Age Improved,4,Consolidate,"Use about 90% of Week 3 load, move crisply, and finish feeling better than you started.",5,Day 5 – Optional Home Treadmill,Yes,40,2,Incline Walk / Zone 2,Conditioning,1,25–30 min,0,Conversational pace; 2–6% incline as tolerated.,Use intervals only when legs and back feel recovered.
Foundation Strength – Golden Age Improved,4,Consolidate,"Use about 90% of Week 3 load, move crisply, and finish feeling better than you started.",5,Day 5 – Optional Home Treadmill,Yes,40,3,Treadmill Cooldown,Cooldown,1,5 min,0,Easy flat walk and nasal breathing.,
